"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College","OA Conditions accuweather","Current Dew Point","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Feels Like","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Humidity","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Pressure","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Rain Rate","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current RealFeel" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Temperature","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current UV Index","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Visibility","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Wet Bulb","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Wind Gust","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 0 Max Wind Speed","BAV","" ,"" ,"" 
