"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint","BSPTCS","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Cooling Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Heating Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Cooling Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Heating Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Cooling Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Heating Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Effective Cooling Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Setpoint / Effective Heating Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Disch Air Temp","BAI","0","0:0","Thermistor"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Zone Temp","BAI","0","0:0","1"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Condensate Overflow","BBI","normal","0:0","1"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Supply Fan Status","BBI","normal","0:0","Dry Contact"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cooling Coil Valve Mod","BAO","0","0:0","Electrical 0-10 Volt"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Supply Fan Control","BBO","normal","0:0","Relay / Triac Output"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Active Zone","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","EI Weighting","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Environmental Index Count","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Zone EI Time Satisfied","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Zone EI Total Weight","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Zone Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Zone Weighted Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","schedule","BBV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Condensate Overflow","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","HI DAT ALARM","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","HI DAT Shutdown","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","HI Zone Alarm","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","LO DAT ALARM","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","LO DAT Shutdown","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","LO Zone Alarm","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Supply Fan Alarm","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Supply Fan Hand Alarm","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Supply Fan Runtime Alarm","BALM","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cool Available","BNI","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Demand","ANI","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","OAT","ANI","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cooling Coil Valve PID Loop","BPID","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cooling Coil Valve PID Loop / Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cooling Coil Valve PID Loop / Input","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU2-RM B44","Cooling Coil Valve PID Loop / PID out","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint","BSPTCS","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Cooling Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Heating Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Cooling Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Heating Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Cooling Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Heating Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Effective Cooling Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Setpoint / Effective Heating Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Disch Air Temp","BAI","0","0:0","Thermistor"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Zone Temp","BAI","0","0:0","1"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Condensate Overflow","BBI","normal","0:0","1"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Supply Fan Status","BBI","normal","0:0","Dry Contact"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Cooling Coil Valve Mod","BAO","0","0:0","Electrical 0-10 Volt"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Supply Fan Control","BBO","normal","0:0","Relay / Triac Output"
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Active Zone","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","EI Weighting","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Environmental Index Count","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Zone EI Time Satisfied","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Zone EI Total Weight","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Zone Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Zone Weighted Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","schedule","BBV","" ,"" ,"" 
"/Carleton College/Hulings Hall/Facility Summary/Basement","HUL-FCU4-RM B22","Condensate Overflow","BALM","" ,"" ,"" 
