"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint","BSPTCS","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Cooling Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Heating Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Cooling Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Heating Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Cooling Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Heating Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Effective Cooling Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Setpoint / Effective Heating Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","Not Used","BAI","0","0:0","0-10 Volt"
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","GHUE-AHU2.FILT-DP","BAI","0","0:8","0-20 mA"
"/Carleton College/Goodhue Hall/Facility Summary/Basement Level/Mech Room 21","GHUE-AHU2","GHUE-AHU2.DAT","BAI","0","0:3","Thermistor"
