"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","EI Time Satisfied","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Runtime","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Time Satisfied Limit","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Total Percent","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Total Weight","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Zone Occ Limit","BAV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Environmental Index Occupancy Status","BBV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Status","BBV","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","EI_LOW","BALM","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #1","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #2","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #3","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #4","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #5","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Active Zones #6","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #1","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #2","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #3","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #4","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #5","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Max Zones #6","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #1","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #2","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #3","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #4","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #5","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weighted EI #6","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weights #1","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weights #2","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weights #3","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weights #4","POLLTOT","" ,"" ,"" 
"/Carleton College/Scoville Hall/Facility Summary/SCOV-Scoville","Scoville Environmental Index Total","Weights #5","POLLTOT","" ,"" ,"" 
