"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Active Zones","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","EI Time Satisfied","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Max Zones","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Runtime","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Time Satisfied Limit","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Total Percent","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Total Weight","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Weighted Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Zone Occ Limit","BAV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Environmental Index Occupancy Status","BBV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Status","BBV","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","EI_LOW","BALM","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Active Zones #1","POLLTOT","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Active Zones #2","POLLTOT","" ,"" ,"" 
"/Carleton College/Weitz Center/Facility Summary/Environmental Index","Environmental Index Total","Active Zones #3","POLLTOT","" ,"" ,"" 
